,MP_asset_symbol,MP_timestamp,MP_price_open,MP_price_high,MP_price_low,MP_price_close,MP_volume,MP_marketcap
0,usd-coin,2018-10-05,,,,,31264.420429900205,0.0
1,usd-coin,2018-10-06,,,,,20254.71225490974,0.0
2,usd-coin,2018-10-07,1.01,1.01,1.0,1.0,49324.69066914409,0.0
3,usd-coin,2018-10-08,1.0075,1.0075,0.99944825,0.99944825,47076.72814229494,0.0
4,usd-coin,2018-10-09,1.005,1.005,0.9988965000000001,0.9988965000000001,55542.21550910832,0.0
5,usd-coin,2018-10-10,1.0025,1.0025,0.99834475,0.99834475,41812.5021286073,0.0
6,usd-coin,2018-10-11,1.0,1.0,0.997793,0.997793,48789.483685295076,0.0
7,usd-coin,2018-10-12,1.0025,1.005,1.00084475,1.0033447500000001,101593.97537189744,0.0
8,usd-coin,2018-10-13,1.005,1.01,1.0038965,1.0088965,185015.91613545088,0.0
9,usd-coin,2018-10-14,1.0075,1.0150000000000001,1.00694825,1.01444825,133806.38034900566,0.0
10,usd-coin,2018-10-15,1.01,1.02,1.01,1.02,114047.4710718572,0.0
11,usd-coin,2018-10-16,1.0175,1.025,1.0125,1.02,440176.7156372268,0.0
12,usd-coin,2018-10-17,1.025,1.03,1.0150000000000001,1.02,579371.8867656252,24736312.470275804
13,usd-coin,2018-10-18,1.0325,1.0350000000000001,1.0175,1.02,1820012.2270029974,24590235.09243715
14,usd-coin,2018-10-19,1.04,1.04,1.02,1.02,577029.8722863413,0.0
15,usd-coin,2018-10-20,1.0350000000000001,1.0375,1.02,1.02,182006.87148386173,0.0
16,usd-coin,2018-10-21,1.03,1.0350000000000001,1.02,1.02,171499.2218408958,0.0
17,usd-coin,2018-10-22,1.025,1.0325,1.02,1.02,211250.721845975,0.0
18,usd-coin,2018-10-23,1.02,1.03,1.02,1.02,475698.11633971217,0.0
19,usd-coin,2018-10-24,1.0175,1.0275,1.0175,1.02,259743.07761605395,0.0
20,usd-coin,2018-10-25,1.0150000000000001,1.025,1.0150000000000001,1.02,227379.72065610412,129207942.55093452
21,usd-coin,2018-10-26,1.0125,1.0225,1.0125,1.02,478573.27928325883,128775493.59195422
22,usd-coin,2018-10-27,1.01,1.02,1.01,1.02,480637.374163149,129502938.57304983
23,usd-coin,2018-10-28,1.01,1.02,1.0075,1.0150000000000001,337149.8515233129,128177230.83110094
24,usd-coin,2018-10-29,1.01,1.02,1.005,1.01,111787.67259390782,129589926.82555479
25,usd-coin,2018-10-30,1.01,1.02,1.0025,1.005,390030.24399696314,128032732.9641366
26,usd-coin,2018-10-31,1.01,1.02,1.0,1.0,193593.4113510009,127904252.15148543
27,usd-coin,2018-11-01,1.0066666666666666,1.0166666666666666,1.0,1.0033333333333334,226475.41149282028,127652782.4548048
28,usd-coin,2018-11-02,1.0033333333333334,1.0133333333333334,1.0,1.0066666666666666,157278.21119808473,128091487.97650129
29,usd-coin,2018-11-03,1.0,1.01,1.0,1.01,301594.61617014447,133609203.34167849
30,usd-coin,2018-11-04,1.0025,1.01,0.99757675,1.0075,1076361.4296374975,133279984.89563128
31,usd-coin,2018-11-05,1.005,1.01,0.9951535,1.005,580733.5817851663,131039278.35077067
32,usd-coin,2018-11-06,1.0075,1.01,0.99273025,1.0025,648445.151684969,134613399.2820283
33,usd-coin,2018-11-07,1.01,1.01,0.990307,1.0,662717.3855460199,134834229.73327753
34,usd-coin,2018-11-08,1.01,1.01,0.9952302500000001,1.0025,1008705.8047196124,135701197.28911525
35,usd-coin,2018-11-09,1.01,1.01,1.0001535000000001,1.005,585822.0635445067,135158925.1922598
36,usd-coin,2018-11-10,1.01,1.01,1.00507675,1.0075,670938.8665384788,136052182.85713974
37,usd-coin,2018-11-11,1.01,1.01,1.01,1.01,1069596.8847862147,135335501.5123472
38,usd-coin,2018-11-12,1.0125,1.0175,1.0125,1.0175,1099443.0518112443,136458935.59849563
39,usd-coin,2018-11-13,1.0150000000000001,1.025,1.0150000000000001,1.025,1107909.6749479396,136284804.8815593
40,usd-coin,2018-11-14,1.0175,1.0325,1.0175,1.0325,690848.2232066703,141683057.71215698
41,usd-coin,2018-11-15,1.02,1.04,1.02,1.04,1467371.2254000164,148577982.7291999
42,usd-coin,2018-11-16,1.0225,1.0375,1.0175,1.0325,632527.0707602842,146981646.37469363
43,usd-coin,2018-11-17,1.025,1.0350000000000001,1.0150000000000001,1.025,370954.2955516491,145736699.8505958
44,usd-coin,2018-11-18,1.0275,1.0325,1.0125,1.0175,1494778.7539830387,146146329.3057387
45,usd-coin,2018-11-19,1.03,1.03,1.01,1.01,1513923.2921288707,145255943.1814611
46,usd-coin,2018-11-20,1.03,1.0325,1.0125,1.0175,8720148.122468185,146842391.15358862
47,usd-coin,2018-11-21,1.03,1.0350000000000001,1.0150000000000001,1.025,11378281.951904796,161782019.63132745
48,usd-coin,2018-11-22,1.03,1.0375,1.0175,1.0325,5791640.496330559,166203162.36999398
49,usd-coin,2018-11-23,1.03,1.04,1.02,1.04,5064458.714495927,169951951.4498348
50,usd-coin,2018-11-24,1.0275,1.0375,1.02,1.0350000000000001,4569302.392899478,169591534.98133108
51,usd-coin,2018-11-25,1.025,1.0350000000000001,1.02,1.03,5071511.231937934,170718063.19309643
52,usd-coin,2018-11-26,1.0225,1.0325,1.02,1.025,5870586.287725668,170695963.22602105
53,usd-coin,2018-11-27,1.02,1.03,1.02,1.02,4902632.234159027,171920667.15118015
54,usd-coin,2018-11-28,1.02,1.0266666666666666,1.0166666666666666,1.0166666666666666,4313047.844982913,175112664.8668014
55,usd-coin,2018-11-29,1.02,1.0233333333333334,1.0133333333333334,1.0133333333333334,5176434.594688605,178905400.63030013
56,usd-coin,2018-11-30,1.02,1.02,1.01,1.01,5821626.0808549905,179073854.49766392
57,usd-coin,2018-12-01,1.0166666666666666,1.0166666666666666,1.01,1.01,17108423.676476702,179488336.81746954
58,usd-coin,2018-12-02,1.0133333333333334,1.0133333333333334,1.01,1.01,70672927.755099,179742796.33896968
