,MP_asset_symbol,MP_timestamp,MP_price_open,MP_price_high,MP_price_low,MP_price_close,MP_volume,MP_marketcap
18,tether,2020-02-19,0.999851,1.0,0.998739,0.998916,70299261237.21727,4285326170.913868
19,tether,2020-02-20,0.99953225,1.0,0.99864875,0.99914575,65196416436.48433,4282876600.340887
20,tether,2020-02-21,0.9992135,1.0,0.9985585,0.9993755,72007263154.84265,4287659834.945381
21,tether,2020-02-22,0.99889475,1.0,0.99846825,0.99960525,43693281116.5608,4286189909.950764
22,tether,2020-02-23,0.998576,1.0,0.998378,0.999835,37409628165.20042,4285130709.1202736
23,tether,2020-02-24,0.998932,1.0,0.998328,0.9996855,44933931790.78866,4294456127.209374
24,tether,2020-02-25,0.999288,1.0,0.998278,0.999536,50814470266.30067,4289228245.46827
25,tether,2020-02-26,0.999644,1.0,0.998228,0.9993865,48218794419.31541,4284267566.820399
26,tether,2020-02-27,1.0,1.0,0.998178,0.999237,60222173759.00636,4279357850.611201
27,tether,2020-02-28,0.999859,1.0,0.998948,0.9996185,53511612145.49837,4290501476.9167504
28,tether,2020-02-29,0.999718,1.0,0.999718,1.0,50928255293.28052,4284583525.7589073
29,tether,2020-03-01,0.999397,1.0,0.999397,1.0,39523155374.76641,4281707677.9713054
30,tether,2020-03-02,0.999076,1.0,0.999076,1.0,40679056015.069176,4287586058.2481146
31,tether,2020-03-03,0.998755,1.0,0.998755,1.0,62844694239.69653,4287612678.862988
32,tether,2020-03-04,0.99906625,1.0,0.99882725,1.0,69962062115.36945,4290848897.27709
33,tether,2020-03-05,0.9993775,1.0,0.9988995,1.0,43525699046.66516,4294158069.334562
34,tether,2020-03-06,0.99968875,1.0,0.99897175,1.0,46015872915.016624,4283452585.4754834
35,tether,2020-03-07,1.0,1.0,0.999044,1.0,48040883409.130745,4292195689.740502
36,tether,2020-03-08,1.0,1.0,0.998258,1.0,44669108239.37727,4288082506.561007
37,tether,2020-03-09,1.0,1.0,0.997472,1.0,41092822471.060905,4262796415.264465
38,tether,2020-03-10,1.0,1.0,0.996686,1.0,60711640591.94306,4299840152.818669
39,tether,2020-03-11,1.0,1.0,0.9959,1.0,47930121433.38325,4301130617.355973
40,tether,2020-03-12,0.99970425,1.0025,0.993748,0.998166,45304260520.12959,4311456649.06912
41,tether,2020-03-13,0.9994085,1.005,0.991596,0.996332,65370235004.51704,4308381652.1723
42,tether,2020-03-14,0.99911275,1.0075,0.989444,0.994498,92226829877.40114,4340812840.148948
43,tether,2020-03-15,0.998817,1.01,0.987292,0.992664,39487890716.07522,4271079465.443513
44,tether,2020-03-16,0.99911275,1.01,0.990469,0.994498,41647999561.05808,4293832554.087441
45,tether,2020-03-17,0.9994085,1.01,0.993646,0.996332,50934758342.763794,4317599420.116166
46,tether,2020-03-18,0.99970425,1.01,0.996823,0.998166,44460007814.426414,4306583144.903502
47,tether,2020-03-19,1.0,1.01,1.0,1.0,43824087657.32284,4231721926.3548894
48,tether,2020-03-20,1.0,1.0075,0.999571,0.999571,59937178587.72581,4294893981.1129794
49,tether,2020-03-21,1.0,1.005,0.999142,0.999142,65487737812.20043,4342066151.500842
50,tether,2020-03-22,1.0,1.0025,0.998713,0.998713,50189758583.7647,4274759423.202568
51,tether,2020-03-23,1.0,1.0,0.998284,0.998284,45666848648.79093,4298879010.052839
52,tether,2020-03-24,1.0,1.0,0.99860525,0.998713,53286026951.02652,4298542912.578629
53,tether,2020-03-25,1.0,1.0,0.9989265,0.999142,53554483664.08859,4287070634.488864
54,tether,2020-03-26,1.0,1.0,0.99924775,0.999571,47596191600.24538,4304355950.614791
55,tether,2020-03-27,1.0,1.0,0.999569,1.0,39180907039.91991,4300196108.958909
56,tether,2020-03-28,0.99978675,1.0,0.9994635,1.0,39075047613.05333,4285259141.854556
