,MP_asset_symbol,MP_timestamp,MP_price_in_stable
0,wrapped-bitcoin,2021-01-11,38495.96731014173
1,wrapped-bitcoin,2021-01-12,35653.62537612682
2,wrapped-bitcoin,2021-01-13,33939.86304188372
3,wrapped-bitcoin,2021-01-14,37431.276549461705
4,wrapped-bitcoin,2021-01-15,39388.971486174814
5,wrapped-bitcoin,2021-01-16,36851.32695314752
6,wrapped-bitcoin,2021-01-17,36269.75086629674
7,wrapped-bitcoin,2021-01-18,35664.9884208976
8,wrapped-bitcoin,2021-01-19,36727.6805512221
9,wrapped-bitcoin,2021-01-20,35889.7336850882
10,wrapped-bitcoin,2021-01-21,35730.5939161797
11,wrapped-bitcoin,2021-01-22,30777.913784982047
12,wrapped-bitcoin,2021-01-23,32994.2745239989
13,wrapped-bitcoin,2021-01-24,31993.885646023857
14,wrapped-bitcoin,2021-01-25,32316.95135998569
15,wrapped-bitcoin,2021-01-26,32291.810183294965
16,wrapped-bitcoin,2021-01-27,32512.317999371608
17,wrapped-bitcoin,2021-01-28,30408.080810186137
18,wrapped-bitcoin,2021-01-29,32797.25874125317
19,wrapped-bitcoin,2021-01-30,34075.31807312045
20,wrapped-bitcoin,2021-01-31,34075.0314017323
21,wrapped-bitcoin,2021-02-01,33048.28757584474
22,wrapped-bitcoin,2021-02-02,33483.31253145907
23,wrapped-bitcoin,2021-02-03,35499.55502456665
24,wrapped-bitcoin,2021-02-04,37610.08640690078
25,wrapped-bitcoin,2021-02-05,36576.982260648336
26,wrapped-bitcoin,2021-02-06,38073.1937877468
27,wrapped-bitcoin,2021-02-07,39328.64199758136
28,wrapped-bitcoin,2021-02-08,38716.96602700186
29,wrapped-bitcoin,2021-02-09,46390.716959636644
30,wrapped-bitcoin,2021-02-10,46618.4739699213
31,wrapped-bitcoin,2021-02-11,44738.48961309159
32,wrapped-bitcoin,2021-02-12,47531.53199759291
33,wrapped-bitcoin,2021-02-13,47375.62901219282
34,wrapped-bitcoin,2021-02-14,46963.080803565324
35,wrapped-bitcoin,2021-02-15,48384.61394958106
36,wrapped-bitcoin,2021-02-16,47778.176586162044
37,wrapped-bitcoin,2021-02-17,49344.392007775816
38,wrapped-bitcoin,2021-02-18,52184.12326461565
39,wrapped-bitcoin,2021-02-19,51858.35671189548
40,wrapped-bitcoin,2021-02-20,56156.05320061563
41,wrapped-bitcoin,2021-02-21,56588.16614893652
42,wrapped-bitcoin,2021-02-22,57886.05616980939
43,wrapped-bitcoin,2021-02-23,54614.02789853518
44,wrapped-bitcoin,2021-02-24,48763.29180945771
45,wrapped-bitcoin,2021-02-25,50037.101620004
46,wrapped-bitcoin,2021-02-26,46995.45391502818
47,wrapped-bitcoin,2021-02-27,46742.8354120132
48,wrapped-bitcoin,2021-02-28,46718.56383316691
49,wrapped-bitcoin,2021-03-01,45034.27254946266
50,wrapped-bitcoin,2021-03-02,49993.309704971405
51,wrapped-bitcoin,2021-03-03,48827.72789866892
52,wrapped-bitcoin,2021-03-04,50485.83812571122
53,wrapped-bitcoin,2021-03-05,49096.85772668434
54,wrapped-bitcoin,2021-03-06,49312.67125215041
55,wrapped-bitcoin,2021-03-07,49013.25728368816
56,wrapped-bitcoin,2021-03-08,51472.4036280762
57,wrapped-bitcoin,2021-03-09,52536.91964276931
58,wrapped-bitcoin,2021-03-10,54793.83988341598
59,wrapped-bitcoin,2021-03-11,56110.80377438563
60,wrapped-bitcoin,2021-03-12,57854.02203966383
61,wrapped-bitcoin,2021-03-13,57514.95593006387
62,wrapped-bitcoin,2021-03-14,61324.54887898095
63,wrapped-bitcoin,2021-03-15,59504.47169664401
64,wrapped-bitcoin,2021-03-16,56164.933261901664
65,wrapped-bitcoin,2021-03-17,56908.21153644268
66,wrapped-bitcoin,2021-03-18,59097.908995764636
67,wrapped-bitcoin,2021-03-19,58124.9764873103
68,wrapped-bitcoin,2021-03-20,58539.623141715594
69,wrapped-bitcoin,2021-03-21,58381.61427158399
70,wrapped-bitcoin,2021-03-22,57898.732743533954
71,wrapped-bitcoin,2021-03-23,54507.18649081594
72,wrapped-bitcoin,2021-03-24,54554.57973747608
73,wrapped-bitcoin,2021-03-25,52655.84925834217
74,wrapped-bitcoin,2021-03-26,51546.70502265246
75,wrapped-bitcoin,2021-03-27,55087.522925266625
76,wrapped-bitcoin,2021-03-28,56004.69916786461
77,wrapped-bitcoin,2021-03-29,55882.749939389614
78,wrapped-bitcoin,2021-03-30,57859.099504965634
79,wrapped-bitcoin,2021-03-31,58712.62412591778
80,wrapped-bitcoin,2021-04-01,58764.491659986226
81,wrapped-bitcoin,2021-04-02,58813.687712634724
82,wrapped-bitcoin,2021-04-03,59029.969590604735
83,wrapped-bitcoin,2021-04-04,56798.23048762957
84,wrapped-bitcoin,2021-04-05,58241.64041767257
85,wrapped-bitcoin,2021-04-06,58657.379094442884
86,wrapped-bitcoin,2021-04-07,58103.62791443223
87,wrapped-bitcoin,2021-04-08,56085.7354693281
88,wrapped-bitcoin,2021-04-09,58249.99699474877
89,wrapped-bitcoin,2021-04-10,58256.668888759865
90,wrapped-bitcoin,2021-04-11,59896.64104294607
91,wrapped-bitcoin,2021-04-12,60067.632451485915
92,wrapped-bitcoin,2021-04-13,59911.389687568844
93,wrapped-bitcoin,2021-04-14,63576.036681678626
94,wrapped-bitcoin,2021-04-15,62857.56419130866
