,MP_timestamp,MP_price_in_stable
0,2021-01-01,48041241768.50171
1,2021-01-02,48041241768.50171
2,2021-01-03,48046795476.04827
3,2021-01-04,48046795476.04827
4,2021-01-05,48046795476.04827
5,2021-01-06,48046795476.04827
6,2021-01-07,48046795476.04827
7,2021-01-08,48046795476.04827
8,2021-01-09,48046795476.04827
9,2021-01-10,48046795476.04827
10,2021-01-11,48069980120.48919
11,2021-01-12,48069980120.48919
12,2021-01-13,48069980120.48919
13,2021-01-14,48069980120.48919
14,2021-01-15,48069980120.48919
15,2021-01-16,48069980120.48919
16,2021-01-17,48069980120.48919
17,2021-01-18,48060624121.20621
18,2021-01-19,48062463661.48779
19,2021-01-20,48019897230.41981
20,2021-01-21,48009765817.03954
21,2021-01-22,47988586179.12959
22,2021-01-23,47979198577.18493
23,2021-01-24,47974206649.44749
24,2021-01-25,47966447138.60236
25,2021-01-26,47909010663.5514
26,2021-01-27,47907445998.48325
27,2021-01-28,47907445998.48325
28,2021-01-29,47907445998.48325
29,2021-01-30,47907445998.48325
30,2021-01-31,47907445998.48325
31,2021-02-01,47906521953.20374
32,2021-02-02,47906521953.20374
33,2021-02-03,47906521953.20374
34,2021-02-04,47906521953.20374
35,2021-02-05,47906521953.20374
36,2021-02-06,47906521953.20374
37,2021-02-07,47906521953.20374
38,2021-02-08,47906537579.12438
39,2021-02-09,47906537579.12438
40,2021-02-10,47906537579.12438
41,2021-02-11,47906537579.12438
42,2021-02-12,47906537579.12438
43,2021-02-13,47906537579.12438
44,2021-02-14,47906537579.12438
45,2021-02-15,47912872073.51862
46,2021-02-16,47912872073.51862
47,2021-02-17,47912872073.51862
48,2021-02-18,47912872073.51862
49,2021-02-19,47912872073.51862
50,2021-02-20,47912872073.51862
51,2021-02-21,47912872073.51862
52,2021-02-22,48039123965.998985
53,2021-02-23,48039123965.998985
54,2021-02-24,48039123965.998985
55,2021-02-25,48039123965.998985
56,2021-02-26,48039123965.998985
57,2021-02-27,48039123965.998985
58,2021-02-28,48039123965.998985
59,2021-03-01,48069592092.34547
60,2021-03-02,48069592092.34547
61,2021-03-03,48069592092.34547
62,2021-03-04,48069592092.34547
63,2021-03-05,48069592092.34547
64,2021-03-06,48069592092.34547
