timestamp,PL_Utilization_mean,PL_Utilization_min,PL_Utilization_max,LP_Pool_Util_1_mean,LP_Pool_Util_1_min,LP_Pool_Util_1_max,LP_Pool_Util_2_mean,LP_Pool_Util_2_min,LP_Pool_Util_2_max,LS_Count_Open_mean,LS_Count_Open_min,LS_Count_Open_max,LP_Count_Open_mean,LP_Count_Open_min,LP_Count_Open_max,LS_Count_Closed_mean,LS_Count_Closed_min,LS_Count_Closed_max,LP_Count_Closed_mean,LP_Count_Closed_min,LP_Count_Closed_max,LS_Interest_mean,LS_Interest_min,LS_Interest_max,LP_Interest_mean,LP_Interest_min,LP_Interest_max,TR_Rewards_mean,TR_Rewards_min,TR_Rewards_max,LS_Repayment_mean,LS_Repayment_min,LS_Repayment_max,LP_Repayment_mean,LP_Repayment_min,LP_Repayment_max,MC_Nolus_price_mean,MC_Nolus_price_min,MC_Nolus_price_max
2020-09-18 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,8.0,8.0,1369863013698630.2,1369863013698630.2,1369863013698630.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
2020-09-19 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,8.0,8.0,1369116672760440.5,1369116672760440.5,1369116672760440.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0968394356274956,0.0968394356274956,0.0968394356274956
2020-09-20 03:00:00,0.0033408312097172616,0.0033408312097172616,0.0033408312097172616,0.006681662419434523,0.006681662419434523,0.006681662419434523,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.023385818468022,10.023385818468022,10.023385818468022,8.023385818468022,8.023385818468022,8.023385818468022,1368393629842449.5,1368393629842449.5,1368393629842449.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0986509930082252,0.0986509930082252,0.0986509930082252
2020-09-21 03:00:00,0.020823034122804764,0.020823034122804764,0.020823034122804764,0.006681683153961791,0.006681683153961791,0.006681683153961791,0.03496438509164774,0.03496438509164774,0.03496438509164774,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.145761238859635,10.145761238859635,10.145761238859635,8.145761238859633,8.145761238859633,8.145761238859633,1367666064944439.0,1367666064944439.0,1367666064944439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694189932863339,0.0694189932863339,0.0694189932863339
2020-09-22 03:00:00,0.03020036587182764,0.03020036587182764,0.03020036587182764,0.005059520161205739,0.005059520161205739,0.005059520161205739,0.05534121158244954,0.05534121158244954,0.05534121158244954,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.211402561102794,10.211402561102794,10.211402561102794,8.211402561102792,8.211402561102792,8.211402561102792,1367074242354852.0,1367074242354852.0,1367074242354852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649857023194974,0.0649857023194974,0.0649857023194974
2020-09-23 03:00:00,0.09993303500019343,0.09993303500019343,0.09993303500019343,0.06406156760621902,0.06406156760621902,0.06406156760621902,0.13580450239416786,0.13580450239416786,0.13580450239416786,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.699531245001353,10.699531245001353,10.699531245001353,8.699531245001355,8.699531245001355,8.699531245001355,1366436731188383.0,1366436731188383.0,1366436731188383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0741707562018891,0.0741707562018891,0.0741707562018891
2020-09-24 03:00:00,0.13288376222855003,0.13288376222855003,0.13288376222855003,0.07234335985816528,0.07234335985816528,0.07234335985816528,0.19342416459893477,0.19342416459893477,0.19342416459893477,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.930186335599851,10.930186335599851,10.930186335599851,8.930186335599851,8.930186335599851,8.930186335599851,1365740206547294.5,1365740206547294.5,1365740206547294.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0814389484923903,0.0814389484923903,0.0814389484923903
2020-09-25 03:00:00,0.11664703342074101,0.11664703342074101,0.11664703342074101,0.059945143626808244,0.059945143626808244,0.059945143626808244,0.17334892321467377,0.17334892321467377,0.17334892321467377,22.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,10.816529233945188,10.816529233945188,10.816529233945188,8.816529233945186,8.816529233945186,8.816529233945186,1365188208007150.5,1365188208007150.5,1365188208007150.5,0.0,0.0,0.0,0.0,0.0,0.0,0.083409810470303,0.083409810470303,0.083409810470303
2020-09-26 03:00:00,0.14114162745481093,0.14114162745481093,0.14114162745481093,0.08176802144156414,0.08176802144156414,0.08176802144156414,0.20051523346805772,0.20051523346805772,0.20051523346805772,28.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.987991392183677,10.987991392183677,10.987991392183677,8.987991392183677,8.987991392183677,8.987991392183677,1364656380632153.0,1364656380632153.0,1364656380632153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0790935530073323,0.0790935530073323,0.0790935530073323
2020-09-27 03:00:00,0.17352932032340543,0.17352932032340543,0.17352932032340543,0.07795413077319384,0.07795413077319384,0.07795413077319384,0.269104509873617,0.269104509873617,0.269104509873617,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,11.214705242263838,11.214705242263838,11.214705242263838,9.214705242263838,9.214705242263838,9.214705242263838,1364079310796283.5,1364079310796283.5,1364079310796283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.086774856841101,0.086774856841101,0.086774856841101
